dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_roc_auc,std_roc_auc
1506_thoracic-surgery,0.015222263336181641,0.0011337697899366959,0.0021485328674316407,0.0012700688316872413,0.848936170212766,0.004255319148936154,0.8522699014254027,0.003272196709563389,0.9949999999999999,0.006123724356957924,0.9181040277011648,0.002431762624527483,0.5817857142857144,0.08774310252559075
1507_twonorm,0.008493471145629882,0.0023630024522637173,0.007623863220214844,0.004774301083306004,0.9781081081081082,0.005581588223800905,0.9759333531904378,0.010104032771549578,0.9805580479264691,0.00601227421660736,0.9781991771934212,0.00544060675091377,0.9977731892737551,0.0008054025372467509
1508_user-knowledge,0.005711126327514649,0.002660649694189695,0.002115488052368164,0.0012066793396455229,0.6473456790123457,0.058220169154055014,0.438450404085079,0.1394477564087301,0.2947692307692308,0.07203286560876675,0.35012645005222937,0.09133433001791963,0.7860387464387465,0.07035765359429433
1510_wdbc,0.014857244491577149,0.0038165087493636503,0.0035219669342041017,0.00330050460468673,0.9455364073901567,0.010150734987801174,0.9459927849927849,0.020803212660518704,0.9691705790297339,0.013753834321469127,0.9571707263956505,0.007704947112079888,0.9909014162494346,0.006345648126040217
1511_wholesale-customers,0.01321873664855957,0.005926197083185258,0.0020525455474853516,0.0036201133615856493,0.875,0.04767312946227964,0.9071554390551038,0.04081432920535544,0.9130508474576272,0.08244918307798027,0.9068055805760725,0.04065906351487791,0.9375401463916951,0.020756635259475013
1512_heart-long-beach,0.013776683807373047,0.003326008610017775,0.0006366252899169921,0.0008446783705116114,0.725,0.031622776601683826,0.45,0.25298221281347033,0.19545454545454546,0.10325287901455042,0.2716666666666666,0.1450670343132596,0.6482012240632931,0.06854834409786666
1519_robot-failures-lp4,0.014229774475097656,0.004816664494330232,0.0057929039001464845,0.004310366260350745,0.6471014492753623,0.13934162715039902,0.7750915750915752,0.16088219003324222,0.5942857142857143,0.17463664902784146,0.6635531135531135,0.16106348317286348,0.6897354497354498,0.20196359774121483
1520_robot-failures-lp5,0.01658601760864258,0.00331655533641741,0.0017460823059082032,0.0023175014407869135,0.615909090909091,0.13337637046473827,0.43089133089133086,0.1675053477889438,0.5311111111111112,0.05370242654930922,0.4587928526009021,0.09864197721174106,0.566316425120773,0.12992613168464057
1523_vertebra-column,0.0055598258972167965,0.00487500477471761,0.00479736328125,0.004181449038420036,0.9580645161290324,0.021878483816533144,0.9603587319243605,0.02463731017610024,0.9533333333333334,0.039999999999999994,0.9562545027802495,0.023226510453327784,0.9920833333333332,0.010004339336285837
1526_wall-robot-navigation,0.007659530639648438,0.0039540981228870925,0.0028594970703125,0.0037257613139120163,0.6411349267902888,0.026008037988641243,0.587083661689755,0.046720195798882674,0.3786848072562358,0.04498719915696053,0.4595353780095839,0.04405678110197082,0.7565556897933462,0.026998924755778017
1527_volcanoes-a1,0.009967327117919922,0.0023321556858170176,0.0057983875274658205,0.003054012171497052,0.9345026586316909,0.00816517287437089,0.9374049627633039,0.004602052012099676,0.9942424503140325,0.00436250915710385,0.9649861416383099,0.004353310040375198,0.9410322731748353,0.013495349126790662
1528_volcanoes-a2,0.009898757934570313,0.0019114868964231497,0.0037299633026123048,0.0045907676429468814,0.919908831908832,0.006064951245515297,0.9198694949332701,0.004761460669118622,0.9986417617894615,0.0016634992783354102,0.9576343140888415,0.0031654724684245386,0.922851415032935,0.02779886550545301
1529_volcanoes-a3,0.009611225128173828,0.0036988509030886274,0.004045534133911133,0.0036680604976724773,0.9132118205349439,0.006485334493047881,0.9137123745819398,0.003900302270799529,0.9978048715274992,0.002929070643955777,0.9539083952696517,0.00345354211381685,0.9154166914633126,0.034686703656347496
1530_volcanoes-a4,0.00964350700378418,0.0027286499076217222,0.002496194839477539,0.004255510403391739,0.9095709570957095,0.0026402640264026334,0.9098836431515906,0.0019243880630947898,0.9985347985347985,0.0017944979800609301,0.9521484899980622,0.0013828163201348624,0.8924542124542125,0.026874722274700287
1535_volcanoes-b5,0.025094938278198243,0.0032723717251452312,0.0032408714294433595,0.002867491266313303,0.9660628079256022,0.0015924817634326393,0.967022924426699,0.00216934216284702,0.9987498371547682,0.0007795773042059946,0.9826281779254951,0.0007898255750159399,0.8828788810055095,0.01789122085007807
1538_volcanoes-d1,0.020759725570678712,0.0036224000336115554,0.004719352722167969,0.003865273671640503,0.9442476951945826,0.00027767678324788336,0.9451652977228461,0.0009911652508402156,0.9989110707803993,0.0011730622764467736,0.971294080815361,0.00014773051086564284,0.813130383217706,0.028018248822339522
1539_volcanoes-d2,0.020181035995483397,0.0022320003869969822,0.00393061637878418,0.00244398024868584,0.9453769696825628,0.0011246932082048782,0.946639858401338,0.0011672474553798815,0.9985005767012687,0.001345086942294203,0.9718775923145542,0.0005734663656707177,0.8251504562220926,0.01625312786180796
1540_volcanoes-d3,0.023908185958862304,0.004182862863934079,0.0018513202667236328,0.002283771254986814,0.9447495961227788,0.0011088454648343694,0.9460916499912926,0.001067105110856495,0.9984036488027368,0.0017442484082985429,0.9715422649141215,0.0005905836659641053,0.827863814895631,0.023827192362474856
1541_volcanoes-d4,0.020537376403808594,0.0004089411180920931,0.003813314437866211,0.0040292747356481815,0.9433787813519533,0.00036560444985198146,0.9442989655724994,0.0011719866556801487,0.9988977342314758,0.0011224925156046398,0.970829972927983,0.00016744884183806375,0.8191439758943406,0.03817666826564741
