abs-error-CC,abs-error-CC-predicted,abs-error-ACC,abs-error-ACC-predicted,abs-error-PACC,abs-error-PACC-predicted,abs-error-PCC,abs-error-PCC-predicted,abs-error-SMM,abs-error-SMM-predicted,abs-error-HDy,abs-error-HDy-predicted,abs-error-DyS,abs-error-DyS-predicted,abs-error-SORD,abs-error-SORD-predicted,abs-error-MS,abs-error-MS-predicted,abs-error-MS2,abs-error-MS2-predicted,abs-error-MAX,abs-error-MAX-predicted,abs-error-X,abs-error-X-predicted,abs-error-ideal,quantifier-ideal,quantifier-ideal-num,abs-error-recommended,quantifier-recommended,quantifier-recommended-num,rank-1,rank-2,rank-3,rank-4,rank-5,rank-6,rank-7,rank-8,rank-9,rank-10,rank-11,rank-12
0.0,0.10976881,0.0,0.11708995,0.0029,0.15469882,0.0029,0.11795692,0.003,0.03991817,0.008150000000000001,0.06800013,0.0012,0.08668328,0.0,0.027646726,0.0,0.1610351,0.0,0.1480075,0.00395,0.08106317,0.00395,0.15358119,0.0,CC,0,0.027646726,SORD,7,7,4,5,10,6,0,1,3,9,11,2,8
0.5,0.522036,0.5,0.5133683,0.386,0.34737,0.386,0.32984158,0.44875,0.14304678,0.281,0.43305844,0.281,0.5008567,0.5,0.3961355,0.5,0.5202005,0.5,0.42929342,0.5,0.48515835,0.5,0.4396345,0.281,HDy,5,0.14304678,SMM,4,4,3,2,7,9,5,11,10,6,1,8,0
0.0151,0.048262496,0.01115,0.046550367,0.011200000000000002,0.12550984,0.01955,0.07351456,0.009250000000000001,0.042012982,0.0083,0.02315426,0.008150000000000001,0.03436698,0.0087,0.03009514,0.00885,0.034973003,0.030300000000000004,0.12391665,0.01085,0.03451011,0.01115,0.020494267,0.008150000000000001,DyS,6,0.020494267,X,11,11,5,7,6,10,8,4,1,0,3,9,2
0.1303,0.16188285,0.028650000000000002,0.06536023,0.3148,0.21598014,0.20795000000000002,0.2376997,0.06945,0.04803873,0.035,0.10533054,0.02625,0.053119823,0.03,0.06402077,0.0294,0.07003791,0.1555,0.3541634,0.028650000000000002,0.26497543,0.07339999999999999,0.19274555,0.02625,DyS,6,0.04803873,SMM,4,4,6,7,1,8,5,0,11,2,3,10,9
0.01665,0.011594522,0.013500000000000002,0.0077475538,0.0245,0.028607141,0.0348,0.084021755,0.0175,0.01579272,0.012,0.034433603,0.0098,0.008888124,0.014750000000000001,0.0144623965,0.015150000000000002,0.014172518,0.0638,0.077944495,0.014750000000000001,0.020585962,0.01645,0.026039053,0.0098,DyS,6,0.0077475538,ACC,1,1,6,0,8,7,4,10,11,2,5,9,3
0.053899999999999997,0.14563057,0.04475,0.08647891,0.087,0.09801499,0.11964999999999999,0.16679078,0.0275,0.07546652,0.02675,0.060029875,0.0317,0.08398646,0.0317,0.042423982,0.03065,0.041567538,0.13615,0.23066135,0.0455,0.056842413,0.03445,0.08135617,0.02675,HDy,5,0.041567538,MS,8,8,7,10,5,4,11,6,1,2,0,3,9
0.5,0.43869495,0.5,0.30620006,0.30655,0.33407864,0.30655,0.3019472,0.44585,0.42797732,0.48200000000000004,0.3604373,0.48200000000000004,0.16684513,0.47705,0.35077047,0.5,0.27823386,0.5,0.41690868,0.5,0.25549364,0.5,0.3014965,0.30655,PACC,2,0.16684513,DyS,6,6,10,8,11,3,1,2,7,5,9,4,0
0.31489999999999996,0.14750351,0.0575,0.14211759,0.42200000000000004,0.19149193,0.2455,0.20190449,0.1134,0.18802807,0.059050000000000005,0.27906972,0.05935000000000001,0.09174997,0.11349999999999999,0.15698023,0.0575,0.12833981,0.3077,0.28653663,0.0575,0.09193103,0.0575,0.16258416,0.0575,ACC,1,0.09174997,DyS,6,6,10,8,1,0,7,11,4,2,3,5,9
0.2978,0.10436708,0.23575,0.06859761,0.2546,0.2865781,0.29675,0.17374068,0.24850000000000003,0.078641295,0.4188,0.087713666,0.27855,0.07468113,0.20695,0.0750907,0.30265000000000003,0.059548654,0.3454,0.28757414,0.1764,0.09397507,0.23235,0.07152811,0.1764,MAX,10,0.059548654,MS,8,8,1,11,6,7,4,5,10,0,3,2,9
0.00995,0.047789395,0.0137,0.019854538,0.04545,0.052270085,0.05965,0.08030155,0.0177,0.0359126,0.0124,0.023452632,0.01075,0.011686492,0.016300000000000002,0.023848832,0.01665,0.048525576,0.044000000000000004,0.16505842,0.03625,0.021627968,0.03625,0.038756296,0.00995,CC,0,0.011686492,DyS,6,6,1,10,5,7,4,11,0,8,2,3,9
0.16845,0.26878977,0.08505000000000001,0.25253454,0.1422,0.21762297,0.22094999999999998,0.23046893,0.0733,0.2764089,0.05785,0.06711034,0.05915,0.25671992,0.06935000000000001,0.10981711,0.09140000000000001,0.124797024,0.3159,0.19224215,0.0743,0.20349586,0.07165,0.15840566,0.05785,HDy,5,0.06711034,HDy,5,5,7,8,11,9,10,2,3,1,6,0,4
0.2118,0.25861686,0.044000000000000004,0.1835525,0.0528,0.39573005,0.20085,0.22603573,0.04975,0.13076134,0.0694,0.18863933,0.034050000000000004,0.08308727,0.051550000000000006,0.14057164,0.05115,0.15543248,0.25505,0.3065885,0.0471,0.14650844,0.049400000000000006,0.13808633,0.034050000000000004,DyS,6,0.08308727,DyS,6,6,4,11,7,10,8,1,5,3,0,9,2
