iter	Passed	Remaining
755	4176	1347
756	4182	1342
757	4187	1336
758	4191	1330
759	4197	1325
760	4202	1319
761	4206	1313
762	4212	1308
763	4217	1302
764	4222	1296
765	4228	1291
766	4233	1285
767	4237	1280
768	4243	1274
769	4248	1269
770	4253	1263
771	4259	1258
772	4264	1252
773	4269	1246
774	4275	1241
775	4280	1235
776	4285	1229
777	4291	1224
778	4295	1218
779	4299	1212
780	4305	1207
781	4310	1201
782	4314	1195
783	4320	1190
784	4325	1184
785	4330	1178
786	4336	1173
787	4341	1167
788	4345	1162
789	4351	1156
790	4355	1150
791	4360	1145
792	4366	1139
793	4371	1134
794	4375	1128
795	4381	1122
796	4386	1117
797	4390	1111
798	4397	1106
799	4401	1100
800	4405	1094
801	4411	1089
802	4416	1083
803	4420	1077
804	4425	1071
805	4430	1066
806	4434	1060
807	4438	1054
808	4444	1049
809	4448	1043
810	4452	1037
811	4457	1031
812	4462	1026
813	4466	1020
814	4471	1014
815	4475	1009
816	4479	1003
817	4483	997
818	4488	991
819	4492	986
820	4496	980
821	4500	974
822	4505	968
823	4509	963
824	4513	957
825	4517	951
826	4521	945
827	4525	940
828	4529	934
829	4533	928
830	4537	922
831	4541	917
832	4545	911
833	4549	905
834	4553	899
835	4557	894
836	4561	888
837	4565	882
838	4569	876
839	4573	871
840	4577	865
841	4581	859
842	4585	853
843	4589	848
844	4593	842
845	4597	836
846	4601	831
847	4605	825
848	4610	819
849	4614	814
850	4618	808
851	4622	802
852	4625	797
853	4629	791
854	4633	785
855	4638	780
856	4642	774
857	4646	768
858	4650	763
859	4654	757
860	4658	752
861	4662	746
862	4666	740
863	4670	735
864	4674	729
865	4678	723
866	4682	718
867	4686	712
868	4690	707
869	4694	701
870	4698	695
871	4702	690
872	4706	684
873	4710	679
874	4714	673
875	4718	667
876	4722	662
877	4726	656
878	4730	651
879	4734	645
880	4738	640
881	4742	634
882	4746	628
883	4750	623
884	4754	617
885	4758	612
886	4762	606
887	4766	601
888	4771	595
889	4775	590
890	4779	584
891	4783	579
892	4787	573
893	4791	568
894	4795	562
895	4799	557
896	4803	551
897	4807	546
898	4810	540
899	4814	534
900	4818	529
901	4822	523
902	4826	518
903	4830	513
904	4835	507
905	4839	502
906	4843	496
907	4847	491
908	4851	485
909	4856	480
910	4860	474
911	4864	469
912	4868	463
913	4872	458
914	4876	452
915	4880	447
916	4884	442
917	4888	436
918	4892	431
919	4896	425
920	4900	420
921	4904	414
922	4908	409
923	4912	404
924	4916	398
925	4920	393
926	4924	387
927	4928	382
928	4932	376
929	4936	371
930	4940	366
931	4944	360
932	4948	355
933	4952	349
934	4956	344
935	4960	339
936	4964	333
937	4968	328
938	4972	323
939	4976	317
940	4980	312
941	4984	306
942	4988	301
943	4992	296
944	4996	290
945	5001	285
946	5005	280
947	5009	274
948	5013	269
949	5017	264
950	5021	258
951	5025	253
952	5029	248
953	5033	242
954	5037	237
955	5041	232
956	5045	226
957	5049	221
958	5053	216
959	5057	210
960	5061	205
961	5065	200
962	5069	194
963	5073	189
964	5077	184
965	5081	178
966	5086	173
967	5090	168
968	5094	162
969	5098	157
970	5102	152
971	5106	147
972	5110	141
973	5114	136
974	5118	131
975	5122	125
976	5126	120
977	5130	115
978	5134	110
979	5139	104
980	5143	99
981	5147	94
982	5151	89
983	5155	83
984	5159	78
985	5163	73
986	5167	68
987	5172	62
988	5176	57
989	5180	52
990	5184	47
991	5188	41
992	5192	36
993	5196	31
994	5200	26
995	5204	20
996	5208	15
997	5212	10
998	5216	5
999	5220	0
