abs-error-CC,abs-error-CC-predicted,abs-error-ACC,abs-error-ACC-predicted,abs-error-PACC,abs-error-PACC-predicted,abs-error-PCC,abs-error-PCC-predicted,abs-error-SMM,abs-error-SMM-predicted,abs-error-HDy,abs-error-HDy-predicted,abs-error-DyS,abs-error-DyS-predicted,abs-error-SORD,abs-error-SORD-predicted,abs-error-MS,abs-error-MS-predicted,abs-error-MAX,abs-error-MAX-predicted,abs-error-X,abs-error-X-predicted,abs-error-ideal,quantifier-ideal,quantifier-ideal-num,abs-error-recommended,quantifier-recommended,quantifier-recommended-num,rank-1,rank-2,rank-3,rank-4,rank-5,rank-6,rank-7,rank-8,rank-9,rank-10,rank-11
0.0151,0.11050399999999998,0.0115,0.0370745,0.020950000000000003,0.16597100000000012,0.02705,0.18148804166666654,0.01165,0.05109300000000002,0.01365,0.055421500000000005,0.0105,0.04223716666666668,0.01115,0.036709500000000006,0.011200000000000002,0.04760390000000002,0.01145,0.04815549999999998,0.01275,0.058668999999999985,0.0105,DyS,6,0.036709500000000006,SORD,7,7,1,6,8,9,4,5,10,0,2,3
0.0098,0.07677599999999994,0.01075,0.03275375000000005,0.012450000000000001,0.0541054999999999,0.01665,0.08786079999999993,0.00735,0.02676083333333334,0.0062,0.03987016666666668,0.005849999999999999,0.032826499999999974,0.0075,0.03292825000000002,0.00795,0.028537999999999987,0.00875,0.0385895,0.00875,0.037007166666666674,0.005849999999999999,DyS,6,0.02676083333333334,SMM,4,4,8,1,6,7,10,9,5,2,0,3
0.0131,0.12004374999999991,0.01085,0.12058599999999997,0.0182,0.08770216666666661,0.02315,0.06624649999999999,0.00955,0.037029000000000006,0.010700000000000001,0.04374564166666667,0.0089,0.04343550000000003,0.009000000000000001,0.0248185,0.00935,0.1026335,0.01145,0.048218975,0.011049999999999999,0.04872241666666666,0.0089,DyS,6,0.0248185,SORD,7,7,4,6,5,9,10,3,2,8,0,1
0.01455,0.2300375,0.0111,0.16595049999999995,0.016300000000000002,0.216874875,0.0231,0.20980200000000004,0.0091,0.23519899999999996,0.0088,0.19675275000000006,0.00835,0.1702610000000001,0.0088,0.19048749999999987,0.00935,0.18634499999999993,0.01155,0.20403516666666668,0.010549999999999999,0.261497,0.00835,DyS,6,0.16595049999999995,ACC,1,1,6,8,7,5,9,3,2,0,4,10
0.27465,0.2488002142857145,0.4728,0.14537024999999992,0.42424999999999996,0.28039654166666705,0.263,0.23850249999999998,0.40590000000000004,0.10155166666666665,0.4718,0.13194300000000006,0.46869999999999995,0.11760849999999998,0.37424999999999997,0.08434135,0.4728,0.13585525000000004,0.4728,0.11966921666666669,0.4728,0.11227599999999986,0.263,PCC,3,0.08434135,SORD,7,7,4,10,6,9,5,8,1,3,0,2
0.5,0.2462877916666667,0.5,0.18446225000000002,0.263,0.24618812500000004,0.263,0.19837525000000011,0.42135,0.07928280000000001,0.5,0.15007295833333345,0.5,0.14965299999999995,0.4219,0.08001561666666673,0.5,0.12069374999999993,0.4533,0.18768095833333334,0.4533,0.1566298333333333,0.263,PACC,2,0.07928280000000001,SMM,4,4,7,8,6,5,10,1,9,3,2,0
0.09005,0.15564845000000008,0.022949999999999998,0.11094925,0.0236,0.13949778333333326,0.09390000000000001,0.1702823333333333,0.0228,0.06636159999999998,0.0352,0.11028274999999998,0.01965,0.07176300000000004,0.023000000000000003,0.05170383333333335,0.02265,0.12692474999999992,0.01925,0.09694971666666666,0.0229,0.11971875000000001,0.01925,MAX,9,0.05170383333333335,SORD,7,7,4,6,9,5,1,10,8,2,0,3
0.17965,0.15951075,0.058499999999999996,0.09522549999999995,0.12300000000000001,0.13601295833333332,0.18145,0.13837366666666664,0.046900000000000004,0.08254883333333332,0.0806,0.1210371666666667,0.047400000000000005,0.06691100000000001,0.046799999999999994,0.0771793,0.0471,0.11844399999999997,0.0528,0.09488666666666669,0.0564,0.08128200000000002,0.046799999999999994,SORD,7,0.06691100000000001,DyS,6,6,7,10,4,9,1,8,5,2,3,0
0.11695,0.11834250000000004,0.05,0.0772055,0.0779,0.06901066666666662,0.15234999999999999,0.11523250000000002,0.038000000000000006,0.061606499999999995,0.04650000000000001,0.06956425,0.038599999999999995,0.049563499999999996,0.03905,0.06233566666666669,0.0384,0.04847749999999999,0.0507,0.053415761904761896,0.049249999999999995,0.05932616666666669,0.038000000000000006,SMM,4,0.04847749999999999,MS,8,8,6,9,10,4,7,2,5,1,3,0
0.06935000000000001,0.17949166666666672,0.031200000000000002,0.12146799999999999,0.05065,0.16056356428571428,0.0956,0.17442136666666663,0.02795,0.05001640000000003,0.029050000000000003,0.09996462499999996,0.025550000000000003,0.04017266666666664,0.027549999999999998,0.03535425,0.02735,0.0587399166666667,0.032400000000000005,0.062368183333333375,0.03185,0.05531599999999999,0.025550000000000003,DyS,6,0.03535425,SORD,7,7,6,4,10,8,9,5,1,2,3,0
