Method,Dataset,MAE
BASELINE+TOP3+MEDIAN,22_mfeat-zernike,0.040105
BASELINE+TOP3+MEDIAN,23_cmc,0.0586116666666666
BASELINE+TOP3+MEDIAN,28_optdigits,0.0160616666666666
BASELINE+TOP3+MEDIAN,292_Australian,0.0208883333333333
BASELINE+TOP3+MEDIAN,294_satellite_image,0.0104116666666666
BASELINE+TOP3+MEDIAN,30_page-blocks,0.0308383333333333
BASELINE+TOP3+MEDIAN,312_scene,0.0092533333333333
BASELINE+TOP3+MEDIAN,333_monks-problems-1,0.07678
BASELINE+TOP3+MEDIAN,334_monks-problems-2,0.3846766666666666
BASELINE+TOP3+MEDIAN,335_monks-problems-3,0.0170266666666666
BASELINE+TOP3+MEDIAN,36_segment,0.0059466666666666
BASELINE+TOP3+MEDIAN,375_JapaneseVowels,0.0155183333333333
BASELINE+TOP3+MEDIAN,37_diabetes,0.0698416666666666
BASELINE+TOP3+MEDIAN,40474_thyroid-allbp,0.0402633333333333
BASELINE+TOP3+MEDIAN,40475_thyroid-allhyper,0.057065
BASELINE+TOP3+MEDIAN,40733_yeast,0.0965316666666666
BASELINE+TOP3+MEDIAN,44_spambase,0.0109
BASELINE+TOP3+MEDIAN,4538_GesturePhaseSegmentationProcessed,0.0810666666666666
BASELINE+TOP3+MEDIAN,458_analcatdata_authorship,0.0053166666666666
BASELINE+TOP3+MEDIAN,54_vehicle,0.0259733333333333
BASELINE+TOP3+MEDIAN,60_waveform-5000,0.01516
BASELINE+TOP3+MEDIAN,679_rmftsa_sleepdata,0.269685
BASELINE+TOP3+MEDIAN,AedesQuinx,0.0272366666666666
BASELINE+TOP3+MEDIAN,AedesSex,0.0061666666666666
BASELINE+TOP3+MEDIAN,anuranCalls,0.0135766666666666
BASELINE+TOP3+MEDIAN,ArabicDigit,0.003735
BASELINE+TOP3+MEDIAN,BNG,0.0061249999999999
BASELINE+TOP3+MEDIAN,click-prediction,0.2087149999999999
BASELINE+TOP3+MEDIAN,cmc,0.0611266666666666
BASELINE+TOP3+MEDIAN,covtype_reduced,0.0350766666666666
BASELINE+TOP3+MEDIAN,default_credit_card_clients,0.0708533333333333
BASELINE+TOP3+MEDIAN,eeg,0.0986516666666666
BASELINE+TOP3+MEDIAN,HTRU,0.0230983333333333
BASELINE+TOP3+MEDIAN,jm1-processed,0.0843466666666666
BASELINE+TOP3+MEDIAN,letter-recognition,0.1950016666666666
BASELINE+TOP3+MEDIAN,magic,0.0371633333333333
BASELINE+TOP3+MEDIAN,mozilla,0.0289816666666666
BASELINE+TOP3+MEDIAN,namao,0.0126266666666666
BASELINE+TOP3+MEDIAN,occupancy,0.0046316666666666
BASELINE+TOP3+MEDIAN,phoneme,0.04729
BASELINE+TOP3+MEDIAN,spambase,0.0196366666666666
BASELINE+TOP3+MEDIAN,winetype,0.0028166666666666
BASELINE+TOP3+MEDIAN,2dplanes,0.0291416666666666
BASELINE+TOP3+MEDIAN,balloon,0.0363833333333333
BASELINE+TOP3+MEDIAN,bank8FM,0.0086366666666666
BASELINE+TOP3+MEDIAN,churn,0.0781166666666666
BASELINE+TOP3+MEDIAN,clean2,0.000585
BASELINE+TOP3+MEDIAN,cpu_act,0.0140333333333333
BASELINE+TOP3+MEDIAN,delta_ailerons,0.0166783333333333
BASELINE+TOP3+MEDIAN,electricity-normalized,0.0212983333333333
BASELINE+TOP3+MEDIAN,elevators,0.0146483333333333
BASELINE+TOP3+MEDIAN,file79b563a1a18,0.04456
BASELINE+TOP3+MEDIAN,fried,0.024515
BASELINE+TOP3+MEDIAN,fri_c2_1000_10,0.0338549999999999
BASELINE+TOP3+MEDIAN,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.3253416666666667
BASELINE+TOP3+MEDIAN,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.3296866666666667
BASELINE+TOP3+MEDIAN,gina_agnostic,0.0183633333333333
BASELINE+TOP3+MEDIAN,kin8nm,0.0334766666666666
BASELINE+TOP3+MEDIAN,parity5_plus_5,0.2851266666666667
BASELINE+TOP3+MEDIAN,pendigits,0.0052366666666666
BASELINE+TOP3+MEDIAN,phpGUrE90,0.0526333333333333
BASELINE+TOP3+MEDIAN,phphQEck0,0.0150583333333333
BASELINE+TOP3+MEDIAN,phpMD2hR6,0.0262083333333333
BASELINE+TOP3+MEDIAN,phpmPOD5A,0.4521566666666665
