Method,Dataset,MAE
HDy,1487_ozone-level-8hr,0.1876
HDy,1488_parkinsons,0.17495
HDy,1489_phoneme,0.06165
HDy,1490_planning-relax,0.5
HDy,1494_qsar-biodeg,0.0356
HDy,1495_qualitative-bankruptcy,0.0736
HDy,1496_ringnorm,0.06875
HDy,1497_wall-robot-navigation,0.0556
HDy,1498_sa-heart,0.0852
HDy,14_mfeat-fourier,0.0231
HDy,1501_semeion,0.05225
HDy,1504_steel-plates-fault,0.00815
HDy,1506_thoracic-surgery,0.281
HDy,1507_twonorm,0.0083
HDy,1508_user-knowledge,0.035
HDy,1510_wdbc,0.012
HDy,1511_wholesale-customers,0.02675
HDy,1512_heart-long-beach,0.482
HDy,1519_robot-failures-lp4,0.05905
HDy,1520_robot-failures-lp5,0.4188
HDy,1523_vertebra-column,0.0124
HDy,1526_wall-robot-navigation,0.05785
HDy,1527_volcanoes-a1,0.0694
HDy,1528_volcanoes-a2,0.2005
HDy,1529_volcanoes-a3,0.15835
HDy,1530_volcanoes-a4,0.18265
HDy,1535_volcanoes-b5,0.21065
HDy,1538_volcanoes-d1,0.5
HDy,1539_volcanoes-d2,0.5
HDy,1540_volcanoes-d3,0.11085
HDy,1541_volcanoes-d4,0.1718499999999999
HDy,1547_autoUniv-au1-1000,0.276
HDy,1559_breast-tissue,0.19235
HDy,1565_heart-h,0.16715
HDy,1566_hill-valley,0.0917999999999999
HDy,1570_wilt,0.1195
HDy,1600_SPECTF,0.21075
HDy,16_mfeat-karhunen,0.04545
HDy,182_satimage,0.0141999999999999
HDy,187_wine,0.0364
HDy,18_mfeat-morphological,0.0157
HDy,20_mfeat-pixel,0.0177
HDy,22_mfeat-zernike,0.05525
HDy,23_cmc,0.1659
HDy,28_optdigits,0.0416
HDy,292_Australian,0.02895
HDy,294_satellite_image,0.01295
HDy,30_page-blocks,0.05465
HDy,311_oil_spill,0.2512999999999999
HDy,312_scene,0.01315
HDy,316_yeast_ml8,0.337
HDy,329_hayes-roth,0.0716
HDy,333_monks-problems-1,0.07185
HDy,334_monks-problems-2,0.5
HDy,335_monks-problems-3,0.01495
HDy,336_SPECT,0.2585
HDy,36_segment,0.0156
HDy,375_JapaneseVowels,0.0346
HDy,377_synthetic_control,0.02265
HDy,37_diabetes,0.06935
HDy,40474_thyroid-allbp,0.05445
HDy,40475_thyroid-allhyper,0.0613
HDy,40496_LED-display-domain-7digit,0.30835
HDy,40733_yeast,0.1164
HDy,40877_seeds,0.0325
HDy,40_sonar,0.07145
HDy,43_haberman,0.3371
